epoch,strategy,arm,current reward,cumulative reward,optimal
347,Explore,8,2.8046065571826886,2326.7981469104006,False
348,Explore,11,1.4847870224073971,2328.282933932808,False
349,Explore,1,6.151116924582749,2334.434050857391,False
350,Explore,6,10.424960721907182,2344.859011579298,False
351,Explore,8,2.194956452467645,2347.0539680317656,False
352,Explore,11,-1.0883887143225741,2345.965579317443,False
353,Explore,0,9.022021269512578,2354.9876005869555,False
354,Explore,11,0.009770302359173685,2354.997370889315,False
355,Explore,3,10.685059288914273,2365.682430178229,False
356,Explore,0,8.347139174321892,2374.029569352551,False
357,Explore,10,12.434095552853945,2386.463664905405,True
358,Explore,6,8.262902547680469,2394.7265674530854,False
359,Explore,5,9.213482963506435,2403.940050416592,False
360,Explore,1,5.961163524765994,2409.901213941358,False
361,Explore,11,1.1386099215726695,2411.039823862931,False
362,Explore,7,4.4923364139747175,2415.5321602769054,False
363,Explore,2,6.816828288518805,2422.3489885654244,False
364,Explore,11,-1.3336384070144454,2421.01535015841,False
365,Explore,6,10.587820725784926,2431.603170884195,False
366,Explore,3,12.11398799543074,2443.717158879626,False
367,Explore,5,9.195769176430561,2452.9129280560564,False
368,Explore,0,9.6873911233286,2462.600319179385,False
369,Explore,7,2.5216014719163926,2465.1219206513015,False
370,Explore,3,12.376500131376844,2477.4984207826783,False
371,Explore,2,7.689395884054378,2485.1878166667325,False
372,Explore,5,9.056330298287243,2494.24414696502,False
373,Explore,7,4.528029822548904,2498.7721767875687,False
374,Explore,9,7.767855090982202,2506.540031878551,False
375,Explore,8,3.077517348178024,2509.617549226729,False
376,Explore,5,10.219146581454877,2519.836695808184,False
377,Explore,10,12.024038263094445,2531.8607340712783,True
378,Explore,5,8.859228329984884,2540.7199624012633,False
379,Explore,11,-0.09102258904570915,2540.6289398122176,False
380,Explore,6,9.766386685019981,2550.3953264972374,False
381,Explore,0,7.890461272425306,2558.285787769663,False
382,Explore,5,8.62565199131268,2566.9114397609756,False
383,Explore,7,3.5500402051215354,2570.461479966097,False
384,Explore,7,4.7829551252671845,2575.2444350913643,False
385,Explore,1,5.118794419866104,2580.36322951123,False
386,Explore,11,-0.2430740721676301,2580.1201554390627,False
387,Explore,7,1.1170639756696088,2581.2372194147324,False
388,Explore,2,6.511076157952876,2587.7482955726855,False
389,Explore,1,6.454405471905056,2594.2027010445904,False
390,Explore,10,12.548466657593375,2606.751167702184,True
391,Explore,2,7.759258562372863,2614.510426264557,False
392,Explore,1,5.996828939917859,2620.507255204475,False
393,Explore,1,7.835512084847251,2628.342767289322,False
394,Explore,2,6.57311026973697,2634.915877559059,False
395,Explore,3,11.144259787379772,2646.0601373464388,False
396,Explore,9,6.654778589033124,2652.7149159354717,False
397,Explore,10,11.456598083960353,2664.171514019432,True
398,Explore,7,0.6907132783520176,2664.862227297784,False
399,Explore,5,8.963942463435458,2673.8261697612197,False
400,Explore,0,8.751179951829087,2682.577349713049,False
401,Explore,10,11.228899310819175,2693.806249023868,True
402,Explore,2,5.922344320144063,2699.728593344012,False
403,Explore,0,8.93173178494134,2708.6603251289534,False
404,Explore,8,2.069633279404972,2710.7299584083585,False
405,Explore,3,11.259001482805699,2721.988959891164,False
406,Explore,0,6.926068828245981,2728.91502871941,False
407,Explore,10,11.185723042930352,2740.1007517623407,True
408,Explore,0,6.058204334918397,2746.158956097259,False
409,Explore,11,1.0877855625833983,2747.2467416598424,False
410,Explore,1,5.650743840655507,2752.897485500498,False
411,Explore,9,3.5859794514450356,2756.483464951943,False
412,Explore,0,8.186836741350662,2764.670301693294,False
413,Explore,3,9.63491030225651,2774.3052119955505,False
414,Explore,5,9.122487956543349,2783.427699952094,False
415,Explore,5,12.168463489486925,2795.5961634415808,False
416,Explore,5,10.181024278062461,2805.7771877196433,False
417,Explore,5,10.699110111267915,2816.4762978309113,False
418,Explore,7,3.5134743283990524,2819.98977215931,False
419,Explore,10,13.256146246761574,2833.2459184060717,True
420,Explore,4,8.834427192877687,2842.0803455989494,False
421,Explore,2,5.56296321827582,2847.6433088172253,False
422,Explore,11,0.4125875748322747,2848.0558963920575,False
423,Explore,4,6.746063662886547,2854.801960054944,False
424,Explore,10,10.374222950412229,2865.1761830053565,True
425,Explore,6,8.268375696083082,2873.4445587014397,False
426,Explore,2,8.42866513353341,2881.873223834973,False
427,Explore,6,11.340781911008685,2893.214005745982,False
428,Explore,6,9.818316631691754,2903.0323223776736,False
429,Explore,7,0.61020602971944,2903.642528407393,False
430,Explore,0,9.035730187731524,2912.6782585951246,False
431,Explore,4,9.049100801799513,2921.727359396924,False
432,Explore,5,9.064307574210295,2930.7916669711344,False
433,Explore,1,6.819384931821949,2937.611051902956,False
434,Explore,11,0.46759041676590907,2938.078642319722,False
435,Explore,6,8.360640777274439,2946.4392830969964,False
436,Explore,3,11.408275428012313,2957.847558525009,False
437,Explore,7,1.6021250086134153,2959.449683533622,False
438,Explore,4,8.65855172954358,2968.1082352631656,False
439,Explore,11,-0.777534474385829,2967.3307007887797,False
440,Explore,11,-0.8664966395062461,2966.4642041492734,False
441,Explore,7,2.5739089469363,2969.0381130962096,False
442,Explore,4,9.297449211630507,2978.33556230784,False
443,Explore,2,6.302846645826029,2984.638408953666,False
444,Explore,5,8.587827678673548,2993.2262366323394,False
445,Explore,11,1.369428838652245,2994.5956654709917,False
446,Explore,0,8.92865589843833,3003.52432136943,False
447,Explore,11,1.6514081465390444,3005.1757295159687,False
448,Explore,10,10.835251765349042,3016.0109812813175,True
449,Explore,0,7.821794193611769,3023.8327754749293,False
450,Explore,9,4.343996753395224,3028.1767722283244,False
451,Explore,0,8.510138096237755,3036.686910324562,False
452,Explore,1,5.604984282300673,3042.291894606863,False
453,Explore,6,7.451646644280494,3049.7435412511436,False
454,Explore,5,10.05817408725192,3059.8017153383953,False
455,Explore,6,9.656333785117521,3069.458049123513,False
456,Explore,9,5.3985001041809975,3074.856549227694,False
457,Explore,8,1.225957146162846,3076.0825063738566,False
458,Explore,10,12.755768268426856,3088.8382746422835,True
459,Explore,3,11.536004909945966,3100.3742795522294,False
460,Explore,4,8.120629346965083,3108.4949088991943,False
461,Explore,2,7.757192149473365,3116.2521010486676,False
462,Explore,9,6.449754606314571,3122.701855654982,False
463,Explore,0,8.35929820168626,3131.061153856668,False
464,Explore,4,8.801952811098012,3139.8631066677663,False
465,Explore,3,11.8392560302298,3151.7023626979963,False
466,Explore,5,7.376326637823621,3159.07868933582,False
467,Explore,3,11.290301786280466,3170.3689911221004,False
468,Explore,11,2.1378297511362576,3172.506820873237,False
469,Explore,10,11.989633489807005,3184.496454363044,True
470,Explore,8,2.06423071770065,3186.560685080745,False
471,Explore,7,3.4218435719662184,3189.982528652711,False
